,Price,GDP,RATE_10,URATE,CPI,PPI,HOUSE,SAVE,Index Enterprise Value,Adjusted Price/Earnings ratio,Adjusted Price/Estimated Earnings,BEst Div Yld,Total Debt to Total Equity,Current Market Cap,Profit Margin,SMA_10d,SMA_20d,SMA_60d,EMA_10d,EMA_20d,EMA_60d,MOM_10d,MOM_20d,MOM_60d,RSI_10d,RSI_20d,RSI_60d
2007-01-29,1.8321150541305544,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2157.3049,10.1842,20.0034,1.8486,96.9741,1319018.27,4.0052,1.8303749799728393,1.8239891827106476,,1.8298259758046647,1.8219870341910642,,0.018139362335205522,0.002220749855041726,,66.06434877506146,70.6591960518338,
2007-01-30,1.8369276523590088,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2163.0737,10.2182,20.0403,1.8445,96.9741,1318699.48,4.0052,1.8315225958824157,1.8243964076042176,,1.8311171897236362,1.8234099502070589,,0.011476159095763938,0.008144497871399148,,70.92513818448222,72.74476928902203,
2007-01-31,1.852476000785828,3482006.0,2.14807579,4.6,86.203521266407,164.0,1409.0,2.4,2175.8044,10.2931,20.1496,1.8311,96.9741,1323583.21,4.0052,1.8344841957092286,1.8255810499191285,,1.835000609916762,1.826178145500275,,0.029615998268128108,0.02369284629821844,,80.79824281910057,78.05063691222543,
2007-02-01,1.8639522790908811,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2191.4446,10.3851,20.2447,1.8143,96.9741,1331439.86,4.0052,1.8383713006973266,1.827339506149292,,1.8402645497666017,1.8297756820327138,,0.03887104988098122,0.035169124603271484,,84.98091519191934,80.93434606376304,
2007-02-02,1.8658039569854736,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2190.5836,10.38,20.2354,1.8152,96.9741,1329752.02,4.0052,1.842443573474884,1.829190546274185,,1.8449080783518512,1.833206946313929,,0.04072272777557373,0.03702080249786399,,85.54538568341363,81.35048451963043,
2007-02-05,1.8584001064300537,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2184.7537,10.3457,20.1627,1.8212,96.9741,1328057.87,4.0052,1.8451091170310974,1.8318560063838958,1.796442013978958,1.8473611743660698,1.8356062948964171,1.796442013978958,0.02665543556213379,0.053309202194213645,,73.30533902943421,74.50592429562327,
2007-02-06,1.8584001064300537,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2187.1436,10.3598,20.1299,1.8191,96.9741,1325364.72,4.0052,1.8477746605873109,1.8345214664936065,1.7983606179555258,1.8493682529231579,1.8377771340900968,1.798473426846207,0.02665543556213379,0.053309202194213645,0.1151162385940554,73.30533902943421,74.50592429562329,76.9858680251844
2007-02-07,1.8584001064300537,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2179.885,10.2439,20.0704,1.825,96.9741,1322967.29,4.0052,1.8499589562416077,1.8370018541812896,1.8002792219320933,1.8510104081062297,1.8397412266939022,1.8004382360128905,0.02184295654296875,0.049607753753661665,0.1151162385940554,73.30533902943421,74.50592429562329,76.9858680251844
2007-02-08,1.8513646125793457,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2177.9636,10.2326,20.0624,1.831,96.9741,1317634.81,4.0052,1.8514397025108338,1.8388713002204895,1.8020805676778158,1.8510748089195235,1.8408482158258492,1.8021079532773645,0.014807462692260742,0.037388920783996804,0.10808074474334739,61.78245789783961,68.15082085046818,74.44626533617652
2007-02-09,1.8513646125793457,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2175.2042,10.2165,20.0307,1.8339,96.9741,1315541.33,4.0053,1.85292044878006,1.8407407462596894,1.8038150588671367,1.8511275004940366,1.8418497774214204,1.803722925713495,0.014807462692260742,0.037388920783996804,0.10406947135925293,61.78245789783963,68.15082085046818,74.44626533617651
2007-02-12,1.8513646125793457,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2174.5755,10.2128,20.0232,1.8345,96.9741,1313509.63,4.0053,1.854845404624939,1.8426101922988891,1.8055495500564576,1.8511706117822746,1.8427559521983656,1.8052849482336868,0.019249558448791282,0.037388920783996804,0.10406947135925293,61.78245789783963,68.1508208504682,74.44626533617652
2007-02-13,1.8513646125793457,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2187.3445,10.2782,20.1324,1.8243,96.9741,1321450.68,3.8033,1.8562891006469726,1.8439058482646942,1.8072840412457785,1.8512058846544694,1.8435758246156018,1.8067957569007576,0.014436960220336914,0.025913119316100852,0.10406947135925293,61.78245789783961,68.15082085046818,74.44626533617652
2007-02-14,1.871356725692749,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2194.634,10.3207,20.2121,1.8173,96.9741,1323430.79,3.8033,1.8581771731376648,1.8463306844234466,1.8093517343203227,1.8548696739341566,1.8462216247181873,1.808912509975905,0.018880724906920943,0.04849672317504905,0.12406158447265625,77.26229057525838,75.45491093741114,76.77476389056696
2007-02-15,1.871356725692749,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2207.7334,10.3972,20.3232,1.8088,96.9741,1330963.26,3.8033,1.8589176177978515,1.848644459247589,1.811419427394867,1.857867319708446,1.8486154438586218,1.8109598613108835,0.007404446601867898,0.04627549648284912,0.12406158447265625,77.26229057525839,75.45491093741114,76.77476389056696
2007-02-16,1.871356725692749,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2214.2284,10.4183,20.3549,1.858,97.2155,1334025.69,3.8031,1.859472894668579,1.8509582340717317,1.8134871204694112,1.8603199389783194,1.8507812802237766,1.812940086372584,0.005552768707275391,0.04627549648284912,0.12406158447265625,77.26229057525838,75.45491093741116,76.77476389056696
2007-02-20,1.9006022214889529,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2224.7862,10.4796,20.4711,1.8469,97.2155,1342690.31,3.8031,1.863693106174469,1.8544011116027832,1.8160422384738921,1.867643990343889,1.855526131772841,1.815814254737055,0.04220211505889915,0.06885755062103294,0.15330708026886009,87.45703676977908,82.35801931415942,79.63039556929677
2007-02-21,1.9006022214889529,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2215.5189,10.4258,20.3728,1.8565,97.2155,1335270.81,3.8031,1.8679133176803588,1.8578439891338348,1.8185973564783733,1.873636396006628,1.859819092698185,1.8185941880731828,0.04220211505889915,0.06885755062103294,0.15330708026886009,87.45703676977908,82.35801931415943,79.63039556929678
2007-02-22,1.8828318119049072,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2211.1481,10.4003,20.3184,1.8618,97.2155,1329469.14,3.8031,1.8703564882278443,1.8601577222347259,1.8205463568369546,1.8753082898063151,1.8620107802416823,1.820700339674223,0.024431705474853516,0.046274662017822266,0.11694002151489258,65.44502354913497,69.24609063614858,73.91908761378069
2007-02-23,1.8820916414260864,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2205.1284,10.3652,20.2498,1.8166,97.2155,1327963.75,3.8031,1.8734291911125183,1.862434446811676,1.8224830210208893,1.8765416264644554,1.8639232432116255,1.822713169239858,0.030727028846740723,0.045534491539001465,0.11619985103607178,64.69148763311013,68.76608569785876,73.69520030854262
2007-02-26,1.8832021951675413,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2206.9294,10.3757,20.2699,1.8147,97.2155,1329884.01,3.8031,1.876612949371338,1.8647666990756988,1.8244381944338481,1.8777526389559256,1.8657593338740937,1.8246964159915853,0.03183758258819558,0.04664504528045632,0.11731040477752663,65.35647698278409,69.10433137789227,73.81620786043005
2007-02-27,1.832484483718872,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2156.3283,10.0803,19.6861,1.868,97.2155,1286162.96,3.8031,1.8747249364852905,1.8647851705551148,1.8255480726559956,1.8695220652764613,1.8625903005259774,1.8249517624744471,-0.018880128860473633,0.00036942958831764905,0.06659269332885742,33.41878660246738,45.44550340653625,60.821810892137925
2007-02-28,1.832484483718872,3482006.0,2.28715091,4.5,86.203521266407,166.8,1480.0,2.8,2167.5379,10.1458,19.8139,1.8554,97.2155,1300618.85,3.8031,1.8728369235992433,1.8645630121231078,1.8266579508781433,1.8627879595387178,1.8597230798776816,1.8251987369414775,-0.018880128860473633,-0.004443168640136719,0.06659269332885742,33.41878660246738,45.44550340653625,60.821810892137925
2007-03-01,1.832484483718872,3482006.0,2.0249864,4.4,86.203521266407,169.3,1495.0,3.0,2156.5954,10.0817,19.6888,1.8678,97.2155,1297455.15,3.8031,1.8689496994018555,1.8635634362697602,1.8278711398442586,1.8572782366623821,1.857128927862557,1.8254376138849986,-0.03887224197387695,-0.01999151706695601,0.07279133796691895,33.41878660246738,45.44550340653625,60.821810892137925
2007-03-02,1.813975691795349,3482006.0,2.0249864,4.4,86.203521266407,169.3,1495.0,3.0,2138.4279,9.9758,19.4825,1.8877,97.2155,1285509.28,3.8031,1.8632115960121154,1.8610646069049834,1.828775848944982,1.849405046686558,1.853019095856156,1.8250618131607477,-0.057381033897400124,-0.04997658729553223,0.054282546043395774,26.850426463209875,39.66526297110565,56.972476514647376
2007-03-05,1.81249475479126,3482006.0,2.0249864,4.4,86.203521266407,169.3,1495.0,3.0,2133.6703,9.9481,19.4285,1.8929,97.2155,1279307,3.8031,1.8573253989219665,1.8583991467952727,1.8292912483215331,1.8426940845237765,1.8491596348023565,1.8246497784601088,-0.058861970901489036,-0.053309202194213645,0.030923962593078835,26.389310324557062,39.244853392136626,56.68058707542589
2007-03-06,1.81249475479126,3482006.0,2.0249864,4.4,86.203521266407,169.3,1495.0,3.0,2149.6098,10.0411,19.5986,1.8754,97.2155,1293377.32,3.8031,1.8485146522521974,1.856103879213333,1.8298066476980845,1.8372032972996826,1.8456677414679663,1.824251253093917,-0.08810746669769287,-0.04590535163879372,0.030923962593078835,26.389310324557062,39.24485339213663,56.68058707542589
2007-03-07,1.8184181451797483,3482006.0,2.0249864,4.4,86.203521266407,169.3,1495.0,3.0,2139.3997,9.9815,19.4823,1.8869,97.2155,1287658.27,3.8031,1.840296244621277,1.8541047811508178,1.8304207702477773,1.8337878150960583,1.8430725418214693,1.8240600036541081,-0.08218407630920455,-0.0399819612503054,0.03684735298156716,32.14368527008767,41.9706684934167,57.57958856106453
